Abeking & Rasmussen (DE) G70;https://www.boats24.com/sailboat/classic-boat/abeking-rasmussen/468188/g70-mit-johnson-motor.html;22500;Boat; Germany;LikeNew
Dehler 42;https://www.boats24.com/sailboat/sailing-yacht/dehler/425967/42-mit-volvo-d2-40-motor.html;273621;Yacht; Germany;WellMaintained
Mediterranean Ketch;https://www.boats24.com/sailboat/motor-sailer/mediterranean/417547/ketch-mit-volvo-motor.html;579000;Sailer; Turkey;LikeNew
Colin Archer Roskilde 35;https://www.boats24.com/sailboat/sailing-yacht/colin-archer/452830/roskilde-35-mit-nanni-motor.html;110000;Yacht; Germany;WellMaintained
Sailart (DE) 24 + Trailer + Torquedo E-Motor;https://www.boats24.com/sailboat/sailing-yacht/sailart/483289/24-trailer-torquedo-e-motor-mit-torquedo-1003-motor.html;55000;Yacht; Germany;LikeNew
Reinke-Riss (DE) Taranga;https://www.boats24.com/sailboat/sailing-yacht/reinke-riss/470229/taranga-mit-vetus-m2-06-motor.html;14000;Yacht; Malaysia;WellMaintained
X-Yachts (DK) X-37;https://www.boats24.com/sailboat/sailing-yacht/x-yachts/494690/x-37-mit-yanmar-3ym30-s-motor.html;135000;Yacht; Netherlands;WellMaintained
Schöchl Sunbeam 44;https://www.boats24.com/sailboat/sailing-yacht/schoechl/494688/sunbeam-44-mit-yanamr-motor.html;178000;Yacht; Germany;WellMaintained
Degerö 28MS;https://www.boats24.com/sailboat/motor-sailer/degeroe/481859/28ms-mit-volvo-2030-motor.html;38500;Sailer; Germany;WellMaintained
Hobie Cat (FR) Pacific 18;https://www.boats24.com/sailboat/catamaran/hobie-cat/494612/pacific-18-mit-honda-bf-23-d-motor.html;4900;Catamaran; Germany;WellMaintained
Reinke (DE) Hydra;https://www.boats24.com/sailboat/sailing-yacht/reinke/458535/hydra-mit-mb-motor.html;59000;Yacht; France;WellMaintained
Hiddensee 14 Tonner Hiddensee;https://www.boats24.com/sailboat/cabin-boat/hiddensee/494187/1-4-tonner-hiddensee-mit-honda-motor.html;16000;Boat; Germany;WellMaintained
Sailart (DE) 19;https://www.boats24.com/sailboat/cabin-boat/sailart/494588/19-mit-torqueedo-motor.html;38000;Boat; Austria;LikeNew
unbekannt Friendship 28;https://www.boats24.com/sailboat/sailing-yacht/unbekannt/494563/friendship-28-mit-bukh-motor.html;13000;Yacht; Netherlands;WellMaintained
Dufour 460;https://www.boats24.com/sailboat/sailing-yacht/dufour/475485/460-mit-mercruiser-motor.html;179000;Yacht; Croatia;WellMaintained
Carter 37;https://www.boats24.com/sailboat/sailing-yacht/carter/494501/37-mit-nani-motor.html;34500;Yacht; Germany;WellMaintained
Galetti UFO 22;https://www.boats24.com/sailboat/keelboat/galetti/494364/ufo-22.html;23000;Keelboat; Austria;LikeNew
Fountaine Pajot SABA 50 Maestro;https://www.boats24.com/sailboat/catamaran/fountaine-pajot/487530/saba-50-maestro-mit-volvo-penta-motor.html;948500;Catamaran; Spain;LikeNew
Noordkaper 40 Fuss;https://www.boats24.com/sailboat/sailing-yacht/noordkaper/488289/40-fuss-mit-vw-marine-100-5-tdi-motor.html;315000;Yacht; Germany;WellMaintained
Magazzu Tris 10;https://www.boats24.com/sailboat/trimaran/magazzu/475236/tris-10-mit-yamaha-motor.html;39000;Trimaran; Italy;LikeNew
Dehler Delanta 75;https://www.boats24.com/sailboat/cabin-boat/dehler/488388/delanta-75-mit-vetus-motor.html;25000;Boat; Switzerland;RepairsNeeded
Bootswerft Minn Patrizia;https://www.boats24.com/sailboat/cabin-boat/bootswerft-minn/408539/patrizia.html;5600;Boat; Germany;WellMaintained
Slotta SL30;https://www.boats24.com/sailboat/sailing-yacht/slotta/491143/sl30-mit-vp-motor.html;33000;Yacht; Germany;WellMaintained
Dehler 23 Sprinter Segelboot;https://www.boats24.com/sailboat/sailing-yacht/dehler/425279/23-sprinter-segelboot-mit-yamaha-motor.html;9800;Yacht; Germany;WellMaintained
Contest Yachts 32 CS;https://www.boats24.com/sailboat/sailing-yacht/contest-yachts/487538/32-cs-mit-volvo-penta-motor.html;34000;Yacht; Spain;WellMaintained
Sailart (DE) Sailart 24;https://www.boats24.com/sailboat/sailing-yacht/sailart/494189/sailart-24-mit-yanmar-saildrive-motor.html;56000;Yacht; Germany;LikeNew
Granada (DK) 38;https://www.boats24.com/sailboat/sailing-yacht/granada/493613/38-mit-bukh-motor.html;59000;Yacht; Germany;WellMaintained
Bavaria Bavaria 42;https://www.boats24.com/sailboat/sailing-yacht/bavaria/433428/bavaria-42-mit-volvo-penta-motor.html;65000;Yacht; Greece;WellMaintained
Deutscher Werftbau (DE) Segelyacht;https://www.boats24.com/sailboat/sailing-yacht/deutscher-werftbau/407650/segelyacht-mit-mercedes-motor.html;69000;Yacht; Greece;WellMaintained
Reinke (DE) TARANGA;https://www.boats24.com/sailboat/cruiser/reinke/467176/taranga-mit-yanmar-motor.html;30000;Cruiser; Spain;WellMaintained
Jeanneau Sun Odyssey 54 DS;https://www.boats24.com/sailboat/sailing-yacht/jeanneau/468318/sun-odyssey-54-ds-mit-yanmar-motor.html;302500;Yacht; Spain;WellMaintained
Bavaria 707;https://www.boats24.com/sailboat/sailing-yacht/bavaria/494193/707-mit-mercury-motor.html;16500;Yacht; Germany;WellMaintained
Bavaria bavaria 46 cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/462359/bavaria-46-cruiser-mit-volvo-penta-motor.html;80000;Yacht; Greece;WellMaintained
Catnano Nautic Mobil 9,15;https://www.boats24.com/sailboat/catamaran/catnano-nautic-mobil/66381/915-mit-farymann-motor.html;97000;Catamaran; Greece;WellMaintained
EMKA (DE) 25;https://www.boats24.com/sailboat/sailing-yacht/emka/494186/25-mit-bukh-saildrive-motor.html;19700;Yacht; Germany;WellMaintained
Cobra Yachts 850;https://www.boats24.com/sailboat/sailing-yacht/cobra-yachts/493513/850-mit-volvo-penta-md7-motor.html;11490;Yacht; Germany;WellMaintained
Hurley Marine (GB) 3090;https://www.boats24.com/sailboat/sailing-yacht/hurley-marine/450820/30-90-mit-barrus-shire-motor.html;16000;Yacht; Poland;WellMaintained
Gib Sea RESERVIERT GibSea 302 Integrale;https://www.boats24.com/sailboat/sailing-yacht/gib-sea/491935/reserviert-gibsea-302-integrale-mit-yanmar-motor.html;24999;Yacht; Croatia;WellMaintained
Genzel Yachtbau (DE) Phantom 28 Neu;https://www.boats24.com/sailboat/sailing-yacht/genzel-yachtbau/487750/phantom-28-neu-mit-barrus-shire-motor.html;13092;Yacht; Poland;WellMaintained
Custom Ketsch Stahl 20,5m;https://www.boats24.com/sailboat/sailing-yacht/custom/493715/ketsch-stahl-205m-mit-mercedes-motor.html;79000;Yacht; Germany;WellMaintained
Notesunds Varv ab Vindoe 40;https://www.boats24.com/sailboat/keelboat/notesunds-varv-ab/493705/vindoe-40-mit-nanni-diesel-3-zyl-motor.html;14500;Keelboat; Germany;WellMaintained
Cheoy Lee (HK) Rhodes Offshore 40;https://www.boats24.com/sailboat/classic-boat/cheoy-lee/480674/rhodes-offshore-40-mit-perkins-motor.html;35000;Boat; Spain;WellMaintained
Sunbeam Yachts Sunbeam 23 KS;https://www.boats24.com/sailboat/sailing-yacht/sunbeam-yachts/493512/sunbeam-23-ks-mit-yamaha-motor.html;15000;Yacht; Germany;WellMaintained
Kajak-Hütte VarioCat;https://www.boats24.com/sailboat/catamaran/kajak-huette/493409/variocat.html;2900;Catamaran; Germany;LikeNew
Marine Projects (GB) Moody38CC;https://www.boats24.com/sailboat/sailing-yacht/marine-projects/397179/moody38cc-mit-volvo-penta-motor.html;79000;Yacht; Croatia;WellMaintained
Beneteau 343 Oceanis;https://www.boats24.com/sailboat/sailing-yacht/beneteau/480640/343-oceanis-mit-yannmar-motor.html;58000;Yacht; Spain;WellMaintained
Colin Archer Colin Archer Venus 42;https://www.boats24.com/sailboat/classic-boat/colin-archer/461817/colin-archer-venus-42-mit-ford-lehman-motor.html;140000;Boat; Netherlands;WellMaintained
Jeanneau Sun Odyssey 33i performance;https://www.boats24.com/sailboat/keelboat/jeanneau/491147/sun-odyssey-33i-performance-mit-yanmar-motor.html;98500;Keelboat; Germany;WellMaintained
Börresen (DK) Drachen;https://www.boats24.com/sailboat/keelboat/boerresen/473488/drachen.html;9500;Keelboat; Germany;WellMaintained
Lagoon 450s;https://www.boats24.com/sailboat/catamaran/lagoon/468186/450s-mit-yanmar-motor.html;450000;Catamaran; Montenegro;WellMaintained
Aburspeeds Ltd. Botley, GB Einzelbau Ketch, Bu;https://www.boats24.com/sailboat/motor-sailer/aburspeeds-ltd-botley-gb/401489/einzelbau-ketch-burma-teak-auf-eiche-mit-gardner-motor.html;250000;Sailer; Cyprus;WellMaintained
Vindö (SE) 32;https://www.boats24.com/sailboat/sailing-yacht/vindoe/491263/32-mit-volvo-penta-motor.html;29500;Yacht; Germany;WellMaintained
Beck & Söhne (DE) 22er Schärenkreuzer;https://www.boats24.com/sailboat/classic-boat/beck-soehne/480011/22er-schaerenkreuzer-mit-allpa-mini-sf-7-motor.html;45000;Boat; Germany;WellMaintained
ADLA 38;https://www.boats24.com/sailboat/motor-sailer/adla/390199/38-mit-daf-motor.html;35000;Sailer; Croatia;WellMaintained
Vindö (SE) 40;https://www.boats24.com/sailboat/sailing-yacht/vindoe/478233/40-mit-sole-motor.html;29500;Yacht; Netherlands;WellMaintained
Stähli Werft (CH) 5.5KR;https://www.boats24.com/sailboat/classic-boat/staehli-werft/440688/5-5kr-mit-janmar-motor.html;42990;Boat; Switzerland;WellMaintained
Bruce Roberts Yacht Design (GB) Custom Built;https://www.boats24.com/sailboat/sailing-yacht/bruce-roberts-yacht-design/492703/custom-built-mit-mercedes-om314-motor.html;198000;Yacht; The Caribbean;LikeNew
Beneteau First 305;https://www.boats24.com/sailboat/sailing-yacht/beneteau/485647/first-305-mit-volvo-2002-motor.html;19500;Yacht; France;LikeNew
Delphia Yachts (PL) Delphia 37;https://www.boats24.com/sailboat/sailing-yacht/delphia-yachts/95403/delphia-37-mit-volvo-penta-2013-d1-30-motor.html;48900;Yacht; Croatia;WellMaintained
Canvey Yachts Jaguar 25 inkl. Straßen-Trailer;https://www.boats24.com/sailboat/keelboat/canvey-yachts/492589/jaguar-25-inkl-strassen-trailer-mit-volvo-penta-motor.html;11500;Keelboat; Netherlands;WellMaintained
Beneteau First 21.7s;https://www.boats24.com/sailboat/cabin-boat/beneteau/492538/first-21-7s-mit-suzuki-motor.html;28800;Boat; Germany;WellMaintained
Bavaria 46 Cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/485712/46-cruiser-mit-volvo-penta-motor.html;209000;Yacht; Italy;LikeNew
Beneteau OCEANIS 55;https://www.boats24.com/sailboat/cruiser/beneteau/451311/oceanis-55-mit-yanmar-motor.html;369000;Cruiser; Greece;LikeNew
Markmann Konsul Konsul 37;https://www.boats24.com/sailboat/sailing-yacht/markmann-konsul/478735/konsul-37-mit-yanmar-motor.html;32000;Yacht; Germany;WellMaintained
Ohlson (SE) 88;https://www.boats24.com/sailboat/cabin-boat/ohlson/458963/88-mit-volvo-penta-d1-20-motor.html;11500;Boat; Germany;WellMaintained
