Naboats (FI) Inferno 29 mit neuem Strassentrai;https://www.boats24.com/sailboat/sailing-yacht/naboats/476729/inferno-29-mit-neuem-strassentrailer-mit-yanmar-1gm10-motor.html;34900;1990; Germany;WellMaintained
Colin Archer Roskilde 35;https://www.boats24.com/sailboat/sailing-yacht/colin-archer/452830/roskilde-35-mit-nanni-motor.html;110000;1996; Germany;WellMaintained
LM Boats (DK) Vitesse 35 vision;https://www.boats24.com/sailboat/keelboat/lm-boats/500739/vitesse-35-vision-mit-volvo-penta-motor.html;114296;1992; Sweden;LikeNew
Dawartz (DE) Schoneryacht;https://www.boats24.com/sailboat/classic-boat/dawartz/500742/schoneryacht-mit-daf-motor.html;129000;1985; Germany;WellMaintained
Thomas Bergner Bootsbau (DE) JK 28;https://www.boats24.com/sailboat/sailing-yacht/thomas-bergner-bootsbau/499778/jk-28-mit-ab-suzuki-motor.html;61400;2017; Germany;WellMaintained
Sunbeam Yachts Peiso 22 SD HD KK Baujahr 2007;https://www.boats24.com/sailboat/sailing-yacht/sunbeam-yachts/495524/peiso-22-sd-hd-kk-baujahr-2007-mit-minn-kota-riptite101-motor.html;23600;2007; Austria;WellMaintained
Hallberg-Rassy 312 MKI, Bj 1984;https://www.boats24.com/sailboat/sailing-yacht/hallberg-rassy/500683/312-mki-bj-1984-mit-volvo-penta-motor.html;44500;1984; Germany;WellMaintained
LATHAM & SONS, UK One-Off Classic;https://www.boats24.com/sailboat/classic-boat/latham-sons-uk/482967/one-off-classic-mit-volvo-penta-motor.html;15000;1967; Belgium;RepairsNeeded
Comar (IT) Genesi;https://www.boats24.com/sailboat/sailing-yacht/comar/500641/genesi-mit-volvo-motor.html;75000;1991; France;WellMaintained
Schöchl Sunbeam 44;https://www.boats24.com/sailboat/sailing-yacht/schoechl/494688/sunbeam-44-mit-yanamr-motor.html;149000;1997; Germany;WellMaintained
Moody 500 Culverneer;https://www.boats24.com/sailboat/sailing-yacht/moody/499352/500-culverneer-mit-thorneycroft-motor.html;105000;1989; Greece;WellMaintained
Delphia Yachts (PL) Delphia 37;https://www.boats24.com/sailboat/sailing-yacht/delphia-yachts/95403/delphia-37-mit-volvo-penta-2013-d1-30-motor.html;48000;2007; Croatia;WellMaintained
Mediterranean Ketch;https://www.boats24.com/sailboat/motor-sailer/mediterranean/417547/ketch-mit-volvo-motor.html;579000;2006; Turkey;LikeNew
Hallberg-Rassy 42;https://www.boats24.com/sailboat/sailing-yacht/hallberg-rassy/367266/42.html;190000;1984; Germany;WellMaintained
MacGregor (USA) MG26;https://www.boats24.com/sailboat/motor-sailer/macgregor/500629/mg26-mit-honda-motor.html;9900;2002; Greece;WellMaintained
LM Boats (DK) Vitesse 33 Cabrio;https://www.boats24.com/sailboat/motor-sailer/lm-boats/495207/vitesse-33-cabrio-mit-volvo-penta-motor.html;48000;1989; Germany;WellMaintained
Jeanneau Sun 2500;https://www.boats24.com/sailboat/sailing-yacht/jeanneau/500580/sun-2500.html;24800;2006; Austria;WellMaintained
Sailart (DE) Sailart 19;https://www.boats24.com/sailboat/cabin-boat/sailart/500581/sailart-19-mit-torqeedo-travel-cs1103-motor.html;37000;2019; Germany;LikeNew
Bootswerft Diethelm Baars Decksalonyacht;https://www.boats24.com/sailboat/sailing-yacht/bootswerft-diethelm-baars/499980/decksalonyacht-mit-yanmar-diesel-innenborder-motor.html;120000;1999; Germany;WellMaintained
Van De Stadt (NL) Norman;https://www.boats24.com/sailboat/keelboat/van-de-stadt/495234/norman-mit-yanmar-motor.html;60000;1998; United Arab Emirates;LikeNew
CNSO Mikado 53;https://www.boats24.com/sailboat/sailing-yacht/cnso/489248/mikado-53.html;90000;1981; Croatia;WellMaintained
Sas-vektor 39;https://www.boats24.com/sailboat/sailing-yacht/sas-vektor/489232/39-mit-yanmar-motor.html;40000;1996; Croatia;WellMaintained
Hallberg-Rassy HR35 Rasmus;https://www.boats24.com/sailboat/motor-sailer/hallberg-rassy/500433/hr35-rasmus-mit-betamarine-35-motor.html;45000;1976; Germany;WellMaintained
