Jantar (DE) Jantar 21;https://www.boats24.com/sailboat/sailing-yacht/jantar/496348/jantar-21-mit-motor.html;9800;1993; Germany;WellMaintained
Vindö (SE) Vindö 50 mix;https://www.boats24.com/sailboat/sailing-yacht/vindoe/446121/vindoe-50-mix-mit-sole-mitsubishi-motor.html;45000;1973; Germany;WellMaintained
Hanse Yachts 630e;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/477331/630e-mit-yanmar-motor.html;400000;2008; Italy;WellMaintained
Burmester (DE) Achat;https://www.boats24.com/sailboat/sailing-yacht/burmester/437384/achat-mit-yamaha-motor.html;14444;1976; Germany;LikeNew
TES Yacht (PL) Tes 28 Magnam;https://www.boats24.com/sailboat/keelboat/tes-yacht/484060/tes-28-magnam-mit-beta-marine-motor.html;53000;2011; Poland;LikeNew
unbekannt Skärgårdskryssare – 44 fot;https://www.boats24.com/sailboat/classic-boat/unbekannt/490408/skaergardskryssare-44-fot-mit-volvo-motor.html;Price On Request;1980; Italy;LikeNew
Delphia Yachts (PL) Delphia 37;https://www.boats24.com/sailboat/sailing-yacht/delphia-yachts/95403/delphia-37-mit-volvo-penta-2013-d1-30-motor.html;48000;2007; Croatia;WellMaintained
LM Boats (DK) LM 28;https://www.boats24.com/sailboat/motor-sailer/lm-boats/435263/lm-28-mit-volvo-penta-motor.html;26500;1991; Germany;WellMaintained
Aburspeeds Ltd. Botley, GB Einzelbau Ketch, Bu;https://www.boats24.com/sailboat/motor-sailer/aburspeeds-ltd-botley-gb/401489/einzelbau-ketch-burma-teak-auf-eiche-mit-gardner-motor.html;250000;1966; Cyprus;WellMaintained
Hanse Yachts 301;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/452655/301-mit-volvo-penta-md2020-motor.html;19900;1998; Croatia;WellMaintained
Doggersbank 12.00;https://www.boats24.com/sailboat/motor-sailer/doggersbank/496187/12-00-mit-perkins-sabre-motor.html;69500;1969; Netherlands;WellMaintained
EMKA (DE) 25;https://www.boats24.com/sailboat/sailing-yacht/emka/494186/25-mit-bukh-saildrive-motor.html;16900;1989; Germany;WellMaintained
Beneteau First 45 LNP:>450.000Euro;https://www.boats24.com/sailboat/sailing-yacht/beneteau/453744/first-45-lnp450-000euro-mit-yanmar-motor.html;176000;2008; Croatia;WellMaintained
Deutscher Werftbau (DE) Reinke Super Secura;https://www.boats24.com/sailboat/sailing-yacht/deutscher-werftbau/483633/reinke-super-secura-mit-volvo-penta-md-17c-motor.html;39000;1981; Germany;WellMaintained
Bavaria 37 Cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/454610/37-cruiser-mit-volvo-penta-d2-40-motor.html;54000;2006; Greece;WellMaintained
Dufour 335 Grand Large - Motor neu;https://www.boats24.com/sailboat/sailing-yacht/dufour/490279/335-grand-large-motor-neu-mit-volvo-motor.html;89500;2014; Italy;WellMaintained
unbekannt Zeeuwse Boeieraak;https://www.boats24.com/sailboat/flatboat/unbekannt/477072/zeeuwse-boeieraak-mit-vetos-motor.html;14990;1950; Germany;WellMaintained
Schooner Chasse-Marée;https://www.boats24.com/sailboat/classic-boat/schooner/480683/chasse-maree-mit-yanmar-motor.html;65000;1994; Belgium;WellMaintained
Corsair (USA) 28 R;https://www.boats24.com/sailboat/trimaran/corsair/489703/28-r.html;68000;2005; Germany;WellMaintained
Dufour 325 Grand Large Limited Edition;https://www.boats24.com/sailboat/cabin-boat/dufour/496022/325-grand-large-limited-edition-mit-volvo-penta-motor.html;63000;2006; Belgium;WellMaintained
Maxi Yachts (SE) Maxi 84;https://www.boats24.com/sailboat/sailing-yacht/maxi-yachts/454638/maxi-84-mit-volvo-penta-motor.html;17000;1979; Germany;WellMaintained
CNSO Kyudo;https://www.boats24.com/sailboat/sailing-yacht/cnso/489206/kyudo-mit-ventus-motor.html;13500;1979; Germany;WellMaintained
Bavaria 606;https://www.boats24.com/sailboat/cabin-boat/bavaria/495853/606-mit-mercury-motor.html;4750;1984; Germany;WellMaintained
Naboats (FI) Inferno 29 mit neuem Strassentrai;https://www.boats24.com/sailboat/sailing-yacht/naboats/476729/inferno-29-mit-neuem-strassentrailer-mit-yanmar-1gm10-motor.html;34900;1990; Germany;WellMaintained
unbekannt Bianca 27;https://www.boats24.com/sailboat/cabin-boat/unbekannt/419488/bianca-27-mit-volvo-penta-motor.html;7250;1972; Germany;RepairsNeeded
Ott Yachting (D) Diamant 3000;https://www.boats24.com/sailboat/keelboat/ott-yachting/446154/diamant-3000-mit-nanni-nk-245-he-motor.html;52500;2000; Germany;WellMaintained
Beneteau Oceanis 45;https://www.boats24.com/sailboat/sailing-yacht/beneteau/453931/oceanis-45-mit-yanmar-motor.html;185000;2012; Spain;WellMaintained
LM Boats (DK) LM 32 Miteigentumsanteil;https://www.boats24.com/sailboat/motor-sailer/lm-boats/495724/lm-32-miteigentumsanteil-mit-volvo-penta-motor.html;22500;1990; Germany;WellMaintained
Dehler 42;https://www.boats24.com/sailboat/sailing-yacht/dehler/425967/42-mit-volvo-d2-40-motor.html;273621;2016; Germany;WellMaintained
Bavaria bavaria 46 cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/462359/bavaria-46-cruiser-mit-volvo-penta-motor.html;80000;2005; Greece;WellMaintained
Rebell Werft (DE) Seaskip II;https://www.boats24.com/sailboat/cabin-boat/rebell-werft/465093/seaskip-ii-mit-yamaha-motor.html;2400;1972; Germany;WellMaintained
unbekannt Sportina 620;https://www.boats24.com/sailboat/keelboat/unbekannt/486702/sportina-620-mit-yamaha-motor.html;16000;1996; Germany;WellMaintained
Bootswerft Minn Patrizia;https://www.boats24.com/sailboat/cabin-boat/bootswerft-minn/408539/patrizia.html;5600;1967; Germany;WellMaintained
Sailart (DE) 24 + Trailer + Torquedo E-Motor;https://www.boats24.com/sailboat/sailing-yacht/sailart/483289/24-trailer-torquedo-e-motor-mit-torquedo-1003-motor.html;55000;2016; Germany;LikeNew
LM Boats (DK) LM 27;https://www.boats24.com/sailboat/motor-sailer/lm-boats/491527/lm-27-mit-bmc-motor.html;17000;1977; Germany;WellMaintained
Pelle Peterson (SE) MAXI 77;https://www.boats24.com/sailboat/sailing-yacht/pelle-peterson/495647/maxi-77-mit-volvo-motor.html;8000;1973; Germany;WellMaintained
Beneteau First Class 8;https://www.boats24.com/sailboat/keelboat/beneteau/483280/first-class-8-mit-mercury-4t-motor.html;15000;1986; Italy;WellMaintained
Bavaria 31 Cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/436118/31-cruiser-mit-volvo-penta-motor.html;58500;2008; Germany;WellMaintained
Dehler Optima 92;https://www.boats24.com/sailboat/sailing-yacht/dehler/495641/optima-92-mit-yanmar-motor.html;24000;1975; Germany;WellMaintained
LM Boats (DK) 30;https://www.boats24.com/sailboat/motor-sailer/lm-boats/495608/30-mit-bukh-motor.html;38500;1987; Germany;WellMaintained
Sunbeam Yachts Peiso 22 SD HD KK Baujahr 2007;https://www.boats24.com/sailboat/sailing-yacht/sunbeam-yachts/495524/peiso-22-sd-hd-kk-baujahr-2007-mit-minn-kota-riptite101-motor.html;23600;2007; Austria;WellMaintained
Aphrodite (SE) 37;https://www.boats24.com/sailboat/sailing-yacht/aphrodite/483027/37-mit-volvo-penta-2003-t-motor.html;79500;1991; Germany;WellMaintained
LATHAM & SONS, UK One-Off Classic;https://www.boats24.com/sailboat/classic-boat/latham-sons-uk/482967/one-off-classic-mit-volvo-penta-motor.html;18000;1967; Belgium;RepairsNeeded
Hallberg-Rassy 42;https://www.boats24.com/sailboat/sailing-yacht/hallberg-rassy/367266/42.html;260000;1984; Germany;WellMaintained
Beneteau First 285;https://www.boats24.com/sailboat/sailing-yacht/beneteau/495301/first-285.html;15000;1988; Germany;WellMaintained
Colin Archer Colin Archer Venus 42;https://www.boats24.com/sailboat/classic-boat/colin-archer/461817/colin-archer-venus-42-mit-ford-lehman-motor.html;140000;1995; Netherlands;WellMaintained
Nauticat Nauticat 38;https://www.boats24.com/sailboat/motor-sailer/nauticat/414416/nauticat-38-mit-volvo-penta-motor.html;99000;1979; Spain;WellMaintained
Magazzu Tris 10;https://www.boats24.com/sailboat/trimaran/magazzu/475236/tris-10-mit-yamaha-motor.html;39000;2006; Italy;LikeNew
Bavaria 41 Holiday;https://www.boats24.com/sailboat/sailing-yacht/bavaria/495240/41-holiday-mit-volvo-penta-motor.html;58000;1997; Italy;WellMaintained
Fountaine Pajot Salina 48;https://www.boats24.com/sailboat/catamaran/fountaine-pajot/418051/salina-48-mit-volvo-penta-motor.html;320000;2008; Italy;WellMaintained
Eigenbau Hochseekatamaran;https://www.boats24.com/sailboat/catamaran/eigenbau/484519/hochseekatamaran-mit-perkins-m30-motor.html;110000;1983; Greece;WellMaintained
Hallberg-Rassy HR40;https://www.boats24.com/sailboat/sailing-yacht/hallberg-rassy/489341/hr40-mit-yanmar-motor.html;268000;2007; Canary Islands;WellMaintained
Van De Stadt (NL) Norman;https://www.boats24.com/sailboat/keelboat/van-de-stadt/495234/norman-mit-yanmar-motor.html;60000;1998; United Arab Emirates;LikeNew
CNSO Mikado 53;https://www.boats24.com/sailboat/sailing-yacht/cnso/489248/mikado-53.html;90000;1981; Croatia;WellMaintained
