Svensk Orust kvalitet  Gecco 39. 1982. S&S. Ny motor/seil 2015-17. Lik Swan 411;https://www.finn.no/boat/forsale/ad.html?finnkode=217089916;585000;1982;39
Sjelden mulighet!;https://www.finn.no/boat/forsale/ad.html?finnkode=218261271;77777;1979;31
Billig kos på vannet;https://www.finn.no/boat/forsale/ad.html?finnkode=218325913;35000;1986;26
Jeanneau Sun Odessey 32.2;https://www.finn.no/boat/forsale/ad.html?finnkode=218319065;520000;2001;32
Godt utstyrt  og velhaldt familibåt med 6 sengeplasser.;https://www.finn.no/boat/forsale/ad.html?finnkode=218286172;590000;2000;37
Hero motorseiler;https://www.finn.no/boat/forsale/ad.html?finnkode=218310111;400000;1986;41
Enkel og lettseilt;https://www.finn.no/boat/forsale/ad.html?finnkode=218297854;45000;2005;20
Bavaria 33 Cruiser;https://www.finn.no/boat/forsale/ad.html?finnkode=218294813;680000;2006;33
Godt utrustet 36fot seilbåt i stål;https://www.finn.no/boat/forsale/ad.html?finnkode=218289347;389000;1999;36
Prosjekt selges rimelig;https://www.finn.no/boat/forsale/ad.html?finnkode=218282193;19000;1982;32
Solid Alo 33 til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=218274095;99000;1977;33
Jeanneau Sun Odyssey 49. Meget godt utstyrt. Baug- og Hekktrøster, Generator++;https://www.finn.no/boat/forsale/ad.html?finnkode=218132218;1970000;2004;49
Albin Cumulus 82 mod;https://www.finn.no/boat/forsale/ad.html?finnkode=218211501;65000;1981;28
Flott turseiler som trenger vedlikehold;https://www.finn.no/boat/forsale/ad.html?finnkode=211580866;120000;1974;31
Bruce Roberts Ketch rigget langturssegler 35 fot m sentercockpit;https://www.finn.no/boat/forsale/ad.html?finnkode=72778845;355000;2007;35
Seilbåt 23 fot, mulighet for båtplass i Oslo;https://www.finn.no/boat/forsale/ad.html?finnkode=218213629;20000;1979;23
OPPUSSINGSOBJEKT Jeanneau rush 120 40 fot;https://www.finn.no/boat/forsale/ad.html?finnkode=218090126;399000;1981;40
Bavaria 44 AC.;https://www.finn.no/boat/forsale/ad.html?finnkode=218158866;850000;2003;44
Bavaria 32 Cruiser -2010;https://www.finn.no/boat/forsale/ad.html?finnkode=217950180;680000;2010;32
Fantastisk, rask og lettseilt seilbåt vurderes solgt.;https://www.finn.no/boat/forsale/ad.html?finnkode=163519850;1400000;2011;41
Bavaria Cruiser 46 2008. Godt utstyrt båt for trygg seilas. 4 lugarer, 2 bad;https://www.finn.no/boat/forsale/ad.html?finnkode=218199810;1550000;2008;46
Ovni 395 vurderes solgt;https://www.finn.no/boat/forsale/ad.html?finnkode=218194607;2500000;2010;42
UTTERN 450 seil-jolle;https://www.finn.no/boat/forsale/ad.html?finnkode=218193473;14000;1990;15
Koselig seilbåt for liten familie;https://www.finn.no/boat/forsale/ad.html?finnkode=218195164;25000;1979;24
Maxi Fenix Dinette;https://www.finn.no/boat/forsale/ad.html?finnkode=218130490;65000;1982;28
(Stor) Liten, rask, trygg og romslig havseiler selges med seilkurs!;https://www.finn.no/boat/forsale/ad.html?finnkode=216426540;125000;1976;28
Jeanneau Sun Odyssey 50DS;https://www.finn.no/boat/forsale/ad.html?finnkode=218137952;2180000;2008;50
Langtur seiler;https://www.finn.no/boat/forsale/ad.html?finnkode=218138483;139000;1986;37
Norges fineste dagseiler;https://www.finn.no/boat/forsale/ad.html?finnkode=218120578;1400000;2021;27
Romslig lettstelt seilbåt selges grunnet endret behov.;https://www.finn.no/boat/forsale/ad.html?finnkode=218126419;153000;1996;26
Bavaria 36 AC vurderes solgt;https://www.finn.no/boat/forsale/ad.html?finnkode=92813196;650000;2002;36
Fin Omega 30A;https://www.finn.no/boat/forsale/ad.html?finnkode=217973353;170000;1986;30
KNS Båten;https://www.finn.no/boat/forsale/ad.html?finnkode=218112250;9000;1975;17
Meget godt utstyrt og oppgradert Bavaria 37 Cruiser vurderes solgt;https://www.finn.no/boat/forsale/ad.html?finnkode=215912029;750000;2006;37
Velholdt og oppgradert Hallberg Rassy 352;https://www.finn.no/boat/forsale/ad.html?finnkode=208687164;790000;1983;35
Mye båt for pengene;https://www.finn.no/boat/forsale/ad.html?finnkode=218077687;15000;1977;23
Malö 39-fantastisk tur-/langturbåt. Velholdt og godt utstyrt.;https://www.finn.no/boat/forsale/ad.html?finnkode=217947694;1490000;1997;39
Sonar -seilbåt for sikker og enkel dags seiling;https://www.finn.no/boat/forsale/ad.html?finnkode=217986021;50000;2007;23
SAGA 24;https://www.finn.no/boat/forsale/ad.html?finnkode=218075652;50000;1977;24
Performance cruiser, Salona S38;https://www.finn.no/boat/forsale/ad.html?finnkode=218060936;1150000;2012;38
Seilbåt med akterkabin, til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=217972280;98000;1979;28
Scanmar 33;https://www.finn.no/boat/forsale/ad.html?finnkode=218053663;245000;1985;33
Kjempefin MacGregor 26x med senkekjøl og båthenger til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=217852779;190000;2003;26
Velholdt Colin Archer - ferieklar;https://www.finn.no/boat/forsale/ad.html?finnkode=217873477;800000;1998;40
X4.3  2017 Pent brukt og godt utstyrt  3 kabin/1 bad;https://www.finn.no/boat/forsale/ad.html?finnkode=217695589;3990000;2017;42
Sjarmerende langtur-/ bobåt med masse utstyr som skiller seg ut i havna;https://www.finn.no/boat/forsale/ad.html?finnkode=217069259;500000;1983;35
Lettseilt Comfort 30;https://www.finn.no/boat/forsale/ad.html?finnkode=213680623;115000;1981;30
Vakker cruiser / racer - Dufour 40´;https://www.finn.no/boat/forsale/ad.html?finnkode=218023188;1050000;2003;40
Koselig båt med mye plass.;https://www.finn.no/boat/forsale/ad.html?finnkode=217795041;35000;1980;26
Hanse 400 vurderes solgt;https://www.finn.no/boat/forsale/ad.html?finnkode=217995071;1150000;2007;40
