HartelyBoats 43DS  langturseilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=207984953;460000;1997;43
Seilbåt til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=98686289;12500;1981;26
Draco Summerwind 24ft prosjekt / perfekt førstegangsbåt eller til helgeturer;https://www.finn.no/boat/forsale/ad.html?finnkode=234036443;9900;1977;24
Jeanneau Sun Odyssey 40;https://www.finn.no/boat/forsale/ad.html?finnkode=233414267;649000;2000;40
RS Vision med Henger;https://www.finn.no/boat/forsale/ad.html?finnkode=234029904;40000;2007;14
HØSTPRIS - Randøy 29 (Breiflabb) til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=174037751;145000;1988;29
Colin Archermodell - glassfiberskrog - gaffelrigg;https://www.finn.no/boat/forsale/ad.html?finnkode=222674834;58000;1985;29
Nydelig Dansk Jagt , full restaurert;https://www.finn.no/boat/forsale/ad.html?finnkode=57395601;1200000;1986;40
"Billig Seilbåt ""NY Pris""";https://www.finn.no/boat/forsale/ad.html?finnkode=228990720;4000;1978;24
Benetaeu Oceanis 323 Clipper;https://www.finn.no/boat/forsale/ad.html?finnkode=233901960;495000;2006;32
BUD MOTTATT! HR Monsun 31: Langkjølet tur/havseiler - Ny motor m.m !;https://www.finn.no/boat/forsale/ad.html?finnkode=233613573;230000;1976;31
Fin og solid havseiler.;https://www.finn.no/boat/forsale/ad.html?finnkode=233791732;780000;1990;46
BAVARIA CRUISER 37-3 LUGARER, SKIPS-REGISTRERT;https://www.finn.no/boat/forsale/ad.html?finnkode=233763162;1595000;2017;37
Hanse 371;https://www.finn.no/boat/forsale/ad.html?finnkode=176566495;650000;2005;37
39fot seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=233755586;300000;2008;39
Hanse 312 Norges fineste Hanse 312? Vakker og velutstyrt. Klar for tur.;https://www.finn.no/boat/forsale/ad.html?finnkode=233718467;435000;2004;31
Wauquiez. Fransk kvalitetsbåt.;https://www.finn.no/boat/forsale/ad.html?finnkode=230998184;200000;1981;37
Sweden Yachts selges;https://www.finn.no/boat/forsale/ad.html?finnkode=219888775;275000;1982;34
IF Marieholm 26. Mye ekstrautstyr!;https://www.finn.no/boat/forsale/ad.html?finnkode=229181005;80000;1982;26
Fin båt i god stand selges;https://www.finn.no/boat/forsale/ad.html?finnkode=233494508;900000;2008;37
Wauquiez Amphora 38: Velutstyrt tur/havseiler - Meget pen - Betydelig oppgradert;https://www.finn.no/boat/forsale/ad.html?finnkode=232037905;990000;1978;38
Viksund Goldfish 1979 Restaureringsprosjekt;https://www.finn.no/boat/forsale/ad.html?finnkode=233017835;35000;1979;31
Banner 28;https://www.finn.no/boat/forsale/ad.html?finnkode=233556903;40000;1983;28
AUKSJON: Sweden Yachts 50 - Modernisert og velholdt - BUDFRIST 11.10. KL. 12.00;https://www.finn.no/boat/forsale/ad.html?finnkode=233544209;1990000;1990;50
Er båten din klar for neste sesong?;https://norboat.no/260;1400000;2009;42
Nydelig Jeanneau Sun Odyssey 42i;https://www.finn.no/boat/forsale/ad.html?finnkode=227148045;450000;2004;33
33 fots regattakatamaran;https://www.finn.no/boat/forsale/ad.html?finnkode=57351925;40000;1969;30
Vindø 30;https://www.finn.no/boat/forsale/ad.html?finnkode=228711664;460000;1997;43
HartelyBoats 43DS  langturseilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=207984953;2450000;2021;30
Dehler 30od;https://www.finn.no/boat/forsale/ad.html?finnkode=233462012;1;1974;24
Firling 24 selges til høystbydende over 1 kr, Prisdump!!!;https://www.finn.no/boat/forsale/ad.html?finnkode=185445020;325000;1978;34
JEANNEAU 34  MELODY;https://www.finn.no/boat/forsale/ad.html?finnkode=5241561;17000;1980;25
Albin Express, evt.  med helt ny mast.;https://www.finn.no/boat/forsale/ad.html?finnkode=233394971;1350000;1980;43
ONE OF A KIND - VINDØ 90;https://www.finn.no/boat/forsale/ad.html?finnkode=233394631;15000;1980;23
Granada 23;https://www.finn.no/boat/forsale/ad.html?finnkode=196132032;1190000;2007;39
SALG PÅGÅR: Jeanneau Sun Odyssey 39 DS - Owners version - GI BUD!;https://www.finn.no/boat/forsale/ad.html?finnkode=232136850;1090000;2008;40
Bavaria cruiser 40 - meget velholdt,  ny elektronikk, skipsregistrert. Høstpris.;https://www.finn.no/boat/forsale/ad.html?finnkode=231046030;550000;1985;47
Langtur eller bobåt selges;https://www.finn.no/boat/forsale/ad.html?finnkode=189242359;260000;1983;33
Contrast 33 med ny motor.;https://www.finn.no/boat/forsale/ad.html?finnkode=227491975;140000;1979;34
Sterk Norsk Havseiler med masse Erfaring, Utstyr og Sjarm!;https://www.finn.no/boat/forsale/ad.html?finnkode=233095772;690000;2000;39
Bavaria 38 AC;https://www.finn.no/boat/forsale/ad.html?finnkode=233153022;2225000;2022;46
