King Cruiser 33 - flott havseiler - kommer til salgs kr. 99.000,-;https://www.finn.no/boat/forsale/ad.html?finnkode=214774814;99000;1975;33
Billig turbåt/dagseiler - perfekt begynnerbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=192724237;9500;1979;19
27 fots seilbåt med nyere : 10hk diesel, Volvo SeilDrev, Selden mast, Storseil.;https://www.finn.no/boat/forsale/ad.html?finnkode=202905005;100000;1977;27
Superfin seilbåt selges;https://www.finn.no/boat/forsale/ad.html?finnkode=193372562;30000;1981;21
Banner 33 R/C selges fordelaktig før båtpuss og utsett;https://www.finn.no/boat/forsale/ad.html?finnkode=215264890;55000;1983;33
Nydelig Jeanneau Sun Odyssey 32i;https://www.finn.no/boat/forsale/ad.html?finnkode=215251280;620000;2009;32
Albin Viggen - Koselig seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=187596462;27500;1976;23
Vg jolle;https://www.finn.no/boat/forsale/ad.html?finnkode=184593708;4000;1990;10
Jeanneau Eolia 25 selges i Arendal;https://www.finn.no/boat/forsale/ad.html?finnkode=215100347;45000;1985;25
Spesiell to master Ketch seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=182610429;130000;1976;36
Benetau Oceanis 43 - 3 kabiner og 2 bad - velholdt og pen;https://www.finn.no/boat/forsale/ad.html?finnkode=214626535;1450000;2007;43
HARMONY 34;https://www.finn.no/boat/forsale/ad.html?finnkode=211496274;495000;2006;34
Velholdt og fin Comfort til salgs pga. lite brukt;https://www.finn.no/boat/forsale/ad.html?finnkode=183793247;85000;1984;30
Beneteau 38, ny motor i 2010 -  Kubota V1505 36 hk 2010.;https://www.finn.no/boat/forsale/ad.html?finnkode=214730349;357000;1991;38
Vakkert mesterstykke, fantastisk seilglede. Totalrestaurert 9mR 1912/2008.;https://www.finn.no/boat/forsale/ad.html?finnkode=215195298;;1912;47
Hollandsk seiljolle;https://www.finn.no/boat/forsale/ad.html?finnkode=215115290;9000;1980;11
Hollandsk glassfiber Tjotter;https://www.finn.no/boat/forsale/ad.html?finnkode=215158572;49000;1977;20
Hanse 470e  til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=215186136;1950000;2008;47
MAXI FENIX DINETTE, godt utstyrt! Vårtilbud!;https://www.finn.no/boat/forsale/ad.html?finnkode=215185990;120000;1982;28
Hallberg Rassy Monsun 31;https://www.finn.no/boat/forsale/ad.html?finnkode=214811829;319000;1981;31
Trapez seiljolle;https://www.finn.no/boat/forsale/ad.html?finnkode=215147131;7000;1976;16
Hanse 345: Lite brukt   2 kabiner - Klar for overtakelse!;https://www.finn.no/boat/forsale/ad.html?finnkode=215050141;1090000;2015;34
Kjekk familieseiler kommer for salg!;https://www.finn.no/boat/forsale/ad.html?finnkode=215153574;890000;2011;32
Extrem morsom katamaran seilbåt i Carbon;https://www.finn.no/boat/forsale/ad.html?finnkode=215132424;35000;2000;20
Bli kaptein i den norske flåten med din fritidsbåt;https://www.sdir.no/fritidsbat/registrere-fritidsbat-i-nor/hvorfor-velge-frivillig-registrering-av-baten-i-skipsregisteret-nor/;8000;1974;19
Minette 19;https://www.finn.no/boat/forsale/ad.html?finnkode=215123497;390000;1986;32
Linjett 32;https://www.finn.no/boat/forsale/ad.html?finnkode=215101945;46000;1942;33
Godt holdt motorseiler tilsalgs;https://www.finn.no/boat/forsale/ad.html?finnkode=131022826;1300000;2007;46
