Vi vurderer å selge vår Bavaria Ocean 42;https://www.finn.no/boat/forsale/ad.html?finnkode=217335499;790000;2001;42
Flott familiecruiser - klargjort for nye opplevelser!;https://www.finn.no/boat/forsale/ad.html?finnkode=217827157;1650000;2012;41
Maxi 84 tilsalgs;https://www.finn.no/boat/forsale/ad.html?finnkode=217815493;60000;1979;28
Motorseiler til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=217808337;490000;2010;45
Beneteau Oceanis Clipper 373 vurderes solgt.;https://www.finn.no/boat/forsale/ad.html?finnkode=153927113;795000;2006;37
Beneteau First 29 i pen stand klar for sesongen!;https://www.finn.no/boat/forsale/ad.html?finnkode=217780068;215000;1986;29
Hallberg Rassy 94 Kutter - velholdt klassiker!;https://www.finn.no/boat/forsale/ad.html?finnkode=217785334;414000;1982;31
Regattaklar turseiler med lakkert skrog selges;https://www.finn.no/boat/forsale/ad.html?finnkode=217767804;1050000;2003;38
Lettseilt båt rimelig til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=217256042;12000;1981;23
Southerly 35 RS 2007 - Dekkssalong og senkekjøl;https://www.finn.no/boat/forsale/ad.html?finnkode=176368583;995000;2007;35
Klassisk og velholdt Najad seilbåt til høystbydende over 2,2 mill.;https://www.finn.no/boat/forsale/ad.html?finnkode=217476403;2200000;2006;40
Steel and stainless, for winter conditions, totally refited. Swing keel.;https://www.finn.no/boat/forsale/ad.html?finnkode=189974792;1200000;1979;40
Den ene av Norges to Trientella  IV selges. Ligger for tiden i Hellas.;https://www.finn.no/boat/forsale/ad.html?finnkode=160492263;475000;1974;40
Hobie Cat 16 til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=182437590;30000;1989;16
Fullt utstyrt seilbåt (mulighet for bøyeplass);https://www.finn.no/boat/forsale/ad.html?finnkode=185227854;15000;1978;22
Bavaria 32 AC, skipsreg. Båtplass ut sesongen.;https://www.finn.no/boat/forsale/ad.html?finnkode=214851042;500000;2003;34
Bavaria Cruiser 33;https://www.finn.no/boat/forsale/ad.html?finnkode=217155794;670000;2007;33
Westerly 33 - Engelsk klassiker!;https://www.finn.no/boat/forsale/ad.html?finnkode=217710633;250000;1978;34
Sommerprosjekt;https://www.finn.no/boat/forsale/ad.html?finnkode=217701812;;1978;36
Fisher 37 motorseiler;https://www.finn.no/boat/forsale/ad.html?finnkode=217682964;1650000;1989;37
Maxi 95 selges;https://www.finn.no/boat/forsale/ad.html?finnkode=217467025;150000;1977;31
NOR registrert Seilbåt (Lån med sikkerhet i Båten) til hele familien;https://www.finn.no/boat/forsale/ad.html?finnkode=217689049;775000;2008;35
Albin Cirrus 78 - En meget brukervennlig seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=212648331;30000;1987;26
Eventyrmaskinen til Ægir Expeditions vurderes solgt!;https://www.finn.no/boat/forsale/ad.html?finnkode=197665650;850000;1993;43
Player 311 - Spesiell utgave, betydelig påkostet!;https://www.finn.no/boat/forsale/ad.html?finnkode=180197428;200000;1994;30
Express seilbåt selges.;https://www.finn.no/boat/forsale/ad.html?finnkode=217665530;70000;1981;26
SUN ODYSSEY 49DS;https://www.finn.no/boat/forsale/ad.html?finnkode=217674506;1985000;2007;49
Moody 45 DS - Luksuriøs og romslig motorseiler;https://www.finn.no/boat/forsale/ad.html?finnkode=217666742;3790000;2008;45
Fin seilbåt, 21 fot, selges på henger;https://www.finn.no/boat/forsale/ad.html?finnkode=217650999;160000;2004;21
Langturklar Colin Archer 33 Brandasund;https://www.finn.no/boat/forsale/ad.html?finnkode=217551782;480000;1984;33
Saga wind 20;https://www.finn.no/boat/forsale/ad.html?finnkode=145885732;25000;1978;21
HALLBERG-RASSY 31 - Oppgradert - Ny motor - Ny rigg;https://www.finn.no/boat/forsale/ad.html?finnkode=216474624;449000;1981;31
Siste sjanse: Beneteau First 375 i Sicilia;https://www.finn.no/boat/forsale/ad.html?finnkode=217614614;430000;1987;37
VG-jolle selges;https://www.finn.no/boat/forsale/ad.html?finnkode=217602747;10000;1972;8
Lettseilt seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=217594125;35000;1982;25
Hanse 400e;https://www.finn.no/boat/forsale/ad.html?finnkode=217591858;1250000;2008;40
Fantasi 44, svensk kvalitetsbåt bygget på Fantasi verftet av Brødrene Jacobsson;https://www.finn.no/boat/forsale/ad.html?finnkode=217568003;2845000;1999;44
Contrast 33;https://www.finn.no/boat/forsale/ad.html?finnkode=217544171;290000;1987;33
Atreyu- Västbris 20;https://www.finn.no/boat/forsale/ad.html?finnkode=217566866;90000;1976;20
Beneteau Oceanis 31;https://www.finn.no/boat/forsale/ad.html?finnkode=217562735;680000;2011;31
Delphia 37 med 3 sovekabiner, skipsregistrert;https://www.finn.no/boat/forsale/ad.html?finnkode=217559614;640000;2005;37
GJ 690 CC 150 hkSuzuki;https://www.finn.no/boat/forsale/ad.html?finnkode=217557179;329000;2021;21
2011 Sun Odyssey 33i;https://www.finn.no/boat/forsale/ad.html?finnkode=217519720;920000;2011;33
Topcat K4X - ny Topcat forhandler i Norge;https://www.finn.no/boat/forsale/ad.html?finnkode=217544405;115000;2021;15
Comfort 30;https://www.finn.no/boat/forsale/ad.html?finnkode=217539976;69000;1979;30
Kelt 760 - med nye seil og instrumenter ++;https://www.finn.no/boat/forsale/ad.html?finnkode=216230951;75000;1982;25
"Beneteau Cyclades 50.5 ""LE SALON"" vurderes solgt! Norsk. Brac(Split), Kroatia";https://www.finn.no/boat/forsale/ad.html?finnkode=217503130;1600000;2009;50
Hanse 320 m/ankervinsj og baugspyd;https://www.finn.no/boat/forsale/ad.html?finnkode=215983587;650000;2010;32
Seilbåt klassiker                  konstruktør: Gunnar Kardel;https://www.finn.no/boat/forsale/ad.html?finnkode=215848489;59000;1976;31
Seilbåt på Mjøsa - utmerket for begynnere.;https://www.finn.no/boat/forsale/ad.html?finnkode=217485291;30000;1976;23
Pen og velseilende klassisk seilbåt oppgradert med mye nytt utstyr.Nye bilder;https://www.finn.no/boat/forsale/ad.html?finnkode=217473372;490000;1988;36
Morsom katamaran - fint leketøy :-);https://www.finn.no/boat/forsale/ad.html?finnkode=217227858;25000;1998;16
