Albin Stratus til salgs!;https://www.finn.no/boat/forsale/ad.html?finnkode=144629414;265000;1981;35
Seilbåt  - epoxystøpt (en eier) - Visning etter påske;https://www.finn.no/boat/forsale/ad.html?finnkode=73175079;920000;2006;37
Vakker Vindø 40, Orust kvalitet.;https://www.finn.no/boat/forsale/ad.html?finnkode=211485336;225000;1974;32
Swan 70 Mint condition;https://www.finn.no/boat/forsale/ad.html?finnkode=211706131;15000000;2001;70
Fart og komfort med Maxi 999;https://www.finn.no/boat/forsale/ad.html?finnkode=211666437;225000;1986;33
Amigo 23 m/Yamaha 4-takt langstammet;https://www.finn.no/boat/forsale/ad.html?finnkode=205643547;11000;1980;23
Colin Archer 39 fot. Vurderes solgt kr 200,000 eventuelt høystbydende.;https://www.finn.no/boat/forsale/ad.html?finnkode=77920406;200000;1998;39
Mascot 28.;https://www.finn.no/boat/forsale/ad.html?finnkode=211665459;150000;1986;28
alo 33 fot 1976 mod .solid havseiler tilsalgs.;https://www.finn.no/boat/forsale/ad.html?finnkode=112775702;120000;1976;33
Utstyrt for drømmeferie;https://www.finn.no/boat/forsale/ad.html?finnkode=211423920;1650000;2006;40
Maxi Fenix Classic med nyere motor;https://www.finn.no/boat/forsale/ad.html?finnkode=211623885;130000;1981;28
Velholdt og elegant Delphia 40.2 vurderes solgt - Skipsregistrert;https://www.finn.no/boat/forsale/ad.html?finnkode=211529973;1350000;2008;40
SmartBoat One - 24/7 overvåkning til din båt;https://sensarmarine.com/?utm_medium=native&utm_source=finn.no&utm_campaign=finn.no%20%7C%20sov%20%7C%20baat%20sider&utm_content=bilde%203;180000;1923;34
Flott Risørskøyte med Vetus M417 motor med kun 700 driftstimer.;https://www.finn.no/boat/forsale/ad.html?finnkode=182254623;960000;2001;38
X-Yacht 382;https://www.finn.no/boat/forsale/ad.html?finnkode=178888208;120000;1981;26
Albin Express til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=211627070;125000;1981;35
Colin Archer skøyte;https://www.finn.no/boat/forsale/ad.html?finnkode=67141042;3500000;1989;55
Spesialbygget SAXE 55 Arctic;https://www.finn.no/boat/forsale/ad.html?finnkode=60953240;770000;2006;37
Velutstyrt Delphia 37.;https://www.finn.no/boat/forsale/ad.html?finnkode=209895010;50000;1980;24
Koselig treseiler selges;https://www.finn.no/boat/forsale/ad.html?finnkode=211594704;450000;2008;29
Delphia 29.2;https://www.finn.no/boat/forsale/ad.html?finnkode=187734146;25000;1982;22
Skipjack 22 Minitonner;https://www.finn.no/boat/forsale/ad.html?finnkode=211600901;370000;1986;36
Sporty turseiler på 36 fot;https://www.finn.no/boat/forsale/ad.html?finnkode=98950697;350000;1988;34
En økonomisk tur- og bobåt - Vinterisolert!;https://www.finn.no/boat/forsale/ad.html?finnkode=149672177;150000;1974;31
