Shift Marine søker flere salgsoppdrag! Meget bra Hunter E36 til salgs!;https://www.finn.no/boat/forsale/ad.html?finnkode=219162995;950000;2011;36
Katamaran / hytte på sjøen;https://www.finn.no/boat/forsale/ad.html?finnkode=223647893;215000;1972;30
Maxi 68;https://www.finn.no/boat/forsale/ad.html?finnkode=158350756;19500;1976;23
Polo 86 E til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=223755070;52000;1983;28
Oppgradert Maxi 77 m/ stor seilgarderobe;https://www.finn.no/boat/forsale/ad.html?finnkode=222746955;70000;1978;26
Ferieklar seiler for hele familien;https://www.finn.no/boat/forsale/ad.html?finnkode=223736531;1650000;2007;49
Nyere motor-oppgradert for langtur;https://www.finn.no/boat/forsale/ad.html?finnkode=223676896;350000;1998;32
RS 600;https://www.finn.no/boat/forsale/ad.html?finnkode=145867820;12000;2008;14
Vindø 32 selges med båtplass i Fredrikstad;https://www.finn.no/boat/forsale/ad.html?finnkode=223730674;170000;1985;29
Bostrøm MK1;https://www.finn.no/boat/forsale/ad.html?finnkode=223727144;89000;1976;31
Laser seilbåt for 2 pers, spinnaker, tralle og trekk inkludert.;https://www.finn.no/boat/forsale/ad.html?finnkode=223711176;25000;2006;16
Nyrestaurert Maxi 68.;https://www.finn.no/boat/forsale/ad.html?finnkode=223725433;42000;1978;22
Ferieklar og velholdt Bavaria 31AC;https://www.finn.no/boat/forsale/ad.html?finnkode=223712862;350000;2000;32
Optimistjolle i tre. Håndlaget.;https://www.finn.no/boat/forsale/ad.html?finnkode=120283352;5000;1977;8
Seilklar Bandholm 30;https://www.finn.no/boat/forsale/ad.html?finnkode=223711296;220000;1977;30
Dufour 32 Classic til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=223709613;325000;2000;32
Beneteau Oceanis 40.1 - levering i år!;https://www.finn.no/boat/forsale/ad.html?finnkode=223704147;3489960;2021;42
Beneteau Oceanis 30.1;https://www.finn.no/boat/forsale/ad.html?finnkode=223702435;1131113;2022;31
Laser Bahia med tilhenger til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=223569123;85000;2009;15
Bavaria 34 Cruiser med 2 doble lugarer. Båtplass ut sesongen ved Nærsnes;https://www.finn.no/boat/forsale/ad.html?finnkode=223696704;725000;2008;34
Drake i god stand til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=223694544;60000;1948;29
Lettseilet familiebåt;https://www.finn.no/boat/forsale/ad.html?finnkode=223674820;690000;2002;34
Pen Sunwind 26, Bud ønskes.;https://www.finn.no/boat/forsale/ad.html?finnkode=223668561;80000;1981;26
42 fot Hero, fremdeles prosjekt selges.;https://www.finn.no/boat/forsale/ad.html?finnkode=223054813;50000;1992;42
Opplev nye Mercury Verado V12.;https://www.mercurymarine.com/no/no/v12/;100000;1985;31
Nessy 94;https://www.finn.no/boat/forsale/ad.html?finnkode=218666545;24000;1986;26
Nydelig seilbåt med rullegenoa til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=223410547;820000;1983;35
Velholdt Hallberg Rassy  352  scandinavia  1983 mod, med mye utstyr tilsalgs.;https://www.finn.no/boat/forsale/ad.html?finnkode=222773375;1900000;2006;49
Jeanneau Sun Odyssey 49 DS 2006 modell til salg;https://www.finn.no/boat/forsale/ad.html?finnkode=163784306;460000;2005;30
Bavaria 30 Cruiser;https://www.finn.no/boat/forsale/ad.html?finnkode=222525432;1300000;2008;42
Velholdt seilbåt selges med tungt hjerte;https://www.finn.no/boat/forsale/ad.html?finnkode=223594153;45000;1980;26
Johnson 26 - Verdens største 26-foter;https://www.finn.no/boat/forsale/ad.html?finnkode=217469780;185000;1981;31
Nydelig Maxi 95 selges, godt utstyrt;https://www.finn.no/boat/forsale/ad.html?finnkode=223600682;15000;1980;14
Askeladden kombinert seilbåt med motor;https://www.finn.no/boat/forsale/ad.html?finnkode=221252559;45000;1981;26
Turseiler til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=223161722;40000;1980;24
Becker Birdie 24 til salgs. Soveplass til 5 personer;https://www.finn.no/boat/forsale/ad.html?finnkode=223593226;35000;1976;26
Maxi 77;https://www.finn.no/boat/forsale/ad.html?finnkode=223584189;14000;2000;10
Walker Bay 10 robåt, seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=223584734;7000;1979;12
Original Lærling med full seilgarderobe;https://www.finn.no/boat/forsale/ad.html?finnkode=223578214;590000;1990;39
Benetau Oceanis 390 Seilbåt til salgs - ferieklar;https://www.finn.no/boat/forsale/ad.html?finnkode=220230031;1300000;2012;40
Pen og velutstyrt Bavaria 40 Cr selges;https://www.finn.no/boat/forsale/ad.html?finnkode=223508410;420000;1985;38
Wasa 38 fot seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=223514885;580000;1986;49
Ekspedisjonsbåt med stålskrog,  både innvendig og utvendig styreposisjon.;https://www.finn.no/boat/forsale/ad.html?finnkode=219054834;640000;2007;37
Ferieklar Bavaria 37 fot cruiser 2007 modell selges. Prisantydning kr 640 000;https://www.finn.no/boat/forsale/ad.html?finnkode=223532667;240000;1982;35
Maxi Mixer CR med motor fra 2010;https://www.finn.no/boat/forsale/ad.html?finnkode=219813177;18500;1980;14
Askeladden kombibåt;https://www.finn.no/boat/forsale/ad.html?finnkode=223541806;60000;1976;27
Romslig familiebåt.;https://www.finn.no/boat/forsale/ad.html?finnkode=223538433;395000;1987;38
Seilbåt selges;https://www.finn.no/boat/forsale/ad.html?finnkode=122234457;450000;2006;34
Hanse 342, ny 2006, med 2 lugarer og romslig stuerom;https://www.finn.no/boat/forsale/ad.html?finnkode=223493818;490000;1986;41
Colvic Victor CC   - NY MOTOR Mai 2021;https://www.finn.no/boat/forsale/ad.html?finnkode=223509233;550000;1978;34
NAJAD 34 Välutrustad;https://www.finn.no/boat/forsale/ad.html?finnkode=223503812;80000;1974;30
