Velholdt Mixer Cruising;https://www.finn.no/boat/forsale/ad.html?finnkode=216871685;300000;1982;35
Askeladden kombi seil-/ro-/motorbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=220235645;8000;1974;14
Winga 29  - fin turseiler som er oppgradert med div utstyr.;https://www.finn.no/boat/forsale/ad.html?finnkode=220280281;50000;1978;29
Seil-ferie i Lofoten og Nord-Norge?;https://www.finn.no/boat/forsale/ad.html?finnkode=220283392;165000;1981;33
Stor fin familiebåt Beneteau 35 fots;https://www.finn.no/boat/forsale/ad.html?finnkode=220278207;299000;1981;35
Bavaria 34 AC;https://www.finn.no/boat/forsale/ad.html?finnkode=219855468;419000;2000;34
Ferieklar familiebåt. Velseilende og velholdt. Hanse 341;https://www.finn.no/boat/forsale/ad.html?finnkode=220271302;550000;2004;34
Klassisk, vakker og velseilende;https://www.finn.no/boat/forsale/ad.html?finnkode=215613701;98000;1980;32
Velutstyrt og velholdt seilbåt med dekksalong til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=177572231;2550000;2006;40
Velholdt og lite brukt Bavaria 33 cruiser til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=220248560;750000;2007;34
Arcona 32;https://www.finn.no/boat/forsale/ad.html?finnkode=220245597;325000;1986;32
God langturseiler;https://www.finn.no/boat/forsale/ad.html?finnkode=150833156;90000;1990;33
Benetau Oceanis 390 Seilbåt til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=220230031;590000;1990;39
Klassisk svensk skjærgårdskrysser - Omega 34 til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=216027692;220000;1984;34
Alo 96 MS selges;https://www.finn.no/boat/forsale/ad.html?finnkode=220230414;250000;1982;32
Eldre fungerende Lærling selges;https://www.finn.no/boat/forsale/ad.html?finnkode=220233136;7500;1960;12
Seilbåt monark;https://www.finn.no/boat/forsale/ad.html?finnkode=213851457;30000;1980;24
Sjarmerende skjærgårdskrysser med følsom rorkult;https://www.finn.no/boat/forsale/ad.html?finnkode=220192150;99000;1979;31
"Svensk kvalitet - Nytt 2019; rullemast/baugprop/navigasjon/coppercoat /autopilot";https://www.finn.no/boat/forsale/ad.html?finnkode=157951828;1250000;2008;36
