Aphrodite 30 ;https://www.blocket.se/annons/halland/aphrodite_30/94942612;39000
Monsun 31 Hallberg & Rassy ;https://www.blocket.se/annons/varmland/monsun_31_hallberg___rassy/94804333;225000
Marieholm 20 ;https://www.blocket.se/annons/goteborg/marieholm_20/94942331;17000
Rj 85 ;https://www.blocket.se/annons/skane/rj_85/93736066;12500
Brofjort 36 med massor av utrustning ;https://www.blocket.se/annons/stockholm/brofjort_36_med_massor_av_utrustning/94941599;449000
Hallberg-Rassy 352 - Ny motor, nytt teakdäck ;https://www.blocket.se/annons/goteborg/hallberg_rassy_352___ny_motor__nytt_teakdack/94941416;975000
IF till salu 15000 eller högstbjudande ;https://www.blocket.se/annons/skane/if_till_salu_15000_eller_hogstbjudande/94941240;15000
Nordisk Folkbåt i Lärk ;https://www.blocket.se/annons/kalmar/nordisk_folkbat_i_lark/94941041;25000
Sinkro 85 ;https://www.blocket.se/annons/goteborg/sinkro_85/94940664;22000
Winga 87 1980 ;https://www.blocket.se/annons/goteborg/winga_87_1980/94938221;325000
29Er SWE 152 ;https://www.blocket.se/annons/stockholm/29er_swe_152/94938961;32000
Martinette 61 ;https://www.blocket.se/annons/gavleborg/martinette_61/94346943;15000
Inkommande - Bavaria 30 Cruiser ;https://www.blocket.se/annons/goteborg/inkommande___bavaria_30_cruiser/94938964;465000
Bavaria 40 Cruiser - 2008 ;https://www.blocket.se/annons/goteborg/bavaria_40_cruiser___2008/94938509;1145000
Albin 79 inkl. kärra ;https://www.blocket.se/annons/skaraborg/albin_79_inkl__karra/94938386;40000
W30 Kompromiss ;https://www.blocket.se/annons/stockholm/w30_kompromiss/94938259;45000
L31 - s/y YA - H7/S111 ;https://www.blocket.se/annons/stockholm/l31___s_y_ya___h7_s111/94937454;75000
Maxi 84-1980 ;https://www.blocket.se/annons/goteborg/maxi_84_1980/94937579;85000
Rhapsody 40 ;https://www.blocket.se/annons/skane/rhapsody_40/94206292;600000
Sunwind 29 en båt med stor volym. 1980 ;https://www.blocket.se/annons/stockholm/sunwind_29_en_bat_med_stor_volym__1980/94937066;190000
Fantasi 44 Pilothouse - 2000 ;https://www.blocket.se/annons/goteborg/fantasi_44_pilothouse___2000/94936628;3595000
X-79 Swe170 -84 ;https://www.blocket.se/annons/goteborg/x_79_swe170__84/94936434;67000
Fenix för familj och Short-handed segling ;https://www.blocket.se/annons/goteborg/fenix_for_familj_och_short_handed_segling/94935675;135000
Albin 78 (Cirrus) med MD2010d och vagn ;https://www.blocket.se/annons/skaraborg/albin_78__cirrus__med_md2010d_och_vagn/94935347;150000
Amigo23 1976 ;https://www.blocket.se/annons/ostergotland/amigo23_1976/94934050;23000
Colin Archer CA40 ;https://www.blocket.se/annons/stockholm/colin_archer_ca40/94933243;675000
Dufour 385 GL 2009 11,96 x 3,93 Utrustad med allt som behövs ;https://www.blocket.se/annons/gavleborg/dufour_385_gl_2009_11_96_x_3_93_utrustad_med_allt_som_behovs/94933042;1150000
Katamaran A-cat ;https://www.blocket.se/annons/goteborg/katamaran_a_cat/94932209;36000
Linjett 32 -81 Blekinge ;https://www.blocket.se/annons/skane/linjett_32__81_blekinge/94932391;225000
Välvårdad mindre havskryssare i trä (pris kan diskuteras) ;https://www.blocket.se/annons/halland/valvardad_mindre_havskryssare_i_tra__pris_kan_diskuteras_/94243599;100000
Albin Vega 7- Imari ;https://www.blocket.se/annons/stockholm/albin_vega_7__imari/94932042;28000
Maxi 84 ;https://www.blocket.se/annons/stockholm/maxi_84/94931470;85000
Välutrustad Dehler 42 2017 ;https://www.blocket.se/annons/stockholm/valutrustad_dehler_42_2017/94930541;2891000
Sun Fun 44 -96 ;https://www.blocket.se/annons/stockholm/sun_fun_44__96/93148408;700228
Trissjolle Typ 3 ;https://www.blocket.se/annons/sodermanland/trissjolle_typ_3/94930239;10000
Omega 28 ;https://www.blocket.se/annons/stockholm/omega_28/94930139;95000
Eka ;https://www.blocket.se/annons/sodermanland/eka/94929467;19000
Marieholm 28 (vårpris) ;https://www.blocket.se/annons/vastmanland/marieholm_28__varpris_/94882549;75000
Albin Stratus ;https://www.blocket.se/annons/stockholm/albin_stratus/94929137;290000
Shipman 28 -76 (Nya modellen) ;https://www.blocket.se/annons/ostergotland/shipman_28__76__nya_modellen_/94929280;60000
FOUNTAINE PAJOT | Alegria 67 ;https://www.blocket.se/annons/stockholm/fountaine_pajot___alegria_67/84741718;25926000
BENETEAU| First Yacht 53 | ;https://www.blocket.se/annons/stockholm/beneteau__first_yacht_53__/84739181;6765000
BENETEAU | Oceanis Yacht 62 | Opportunity ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_yacht_62___opportunity/86875564;10500000
BENETEAU | Oceanis Yacht 54 ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_yacht_54/92350440;5585000
BENETEAU | Oceanis 51.1 | ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_51_1__/73818650;4269000
BENETEAU | Oceanis 46.1 | ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_46_1__/86864510;3390000
BENETEAU | First 24 SE | Leverans JUNI 2021 ;https://www.blocket.se/annons/stockholm/beneteau___first_24_se___leverans_juni_2021/84727210;635000
Magnifik Midget ;https://www.blocket.se/annons/goteborg/magnifik_midget/94928989;8000
Magnific Midget ;https://www.blocket.se/annons/skane/magnific_midget/94928903;10000
Linjett 37 SWE65 2018 ;https://www.blocket.se/annons/stockholm/linjett_37_swe65_2018/94928518;2550000
Mistress 32 mindre renov ;https://www.blocket.se/annons/ostergotland/mistress_32_mindre_renov/94927725;100000
Beneteau oceanis 343 ;https://www.blocket.se/annons/halland/beneteau_oceanis_343/94927658;895000
EJolle med flera segel ;https://www.blocket.se/annons/skane/ejolle_med_flera_segel/94927627;4495
Albin Accent 26 fot ;https://www.blocket.se/annons/stockholm/albin_accent_26_fot/94927560;48000
CR7a ;https://www.blocket.se/annons/jonkoping/cr7a/94927430;120000
Fin Rival 22 med ny inombordare ;https://www.blocket.se/annons/stockholm/fin_rival_22_med_ny_inombordare/94926669;85000
Tetis bygd 65_75 ;https://www.blocket.se/annons/uppsala/tetis_bygd_65_75/94926441;12500
Linjett 40 2009 ;https://www.blocket.se/annons/kalmar/linjett_40_2009/94926323;2400000
Kustkryssaren Amanda ;https://www.blocket.se/annons/stockholm/kustkryssaren_amanda/94610775;-1
Crown 31, snabbseglande familjebåt ;https://www.blocket.se/annons/stockholm/crown_31__snabbseglande_familjebat/94925575;250000
Colin Archer 40 fot Randesund 1988 med plastskrov ;https://www.blocket.se/annons/skane/colin_archer_40_fot_randesund_1988_med_plastskrov/89607792;880000
Shipman 28 ;https://www.blocket.se/annons/stockholm/shipman_28/94925278;45000
MAXI 77 nr 1102 (år 1975) ;https://www.blocket.se/annons/uppsala/maxi_77_nr_1102__ar_1975_/94925096;33000
Comfortina 32, snabbseglande familjebåt ;https://www.blocket.se/annons/goteborg/comfortina_32__snabbseglande_familjebat/94614856;295000
Bohuseka, ;https://www.blocket.se/annons/skaraborg/bohuseka_/94923478;12500
Nästan ny GKSS-eka ;https://www.blocket.se/annons/halland/nastan_ny_gkss_eka/94923434;50000
Compis 28 ;https://www.blocket.se/annons/blekinge/compis_28/94923184;20000
Meginjolle inkl.båtkärra ;https://www.blocket.se/annons/halland/meginjolle_inkl_batkarra/94920929;96000
Tetis segelbåt 9.25 mx2,7 långkölad ;https://www.blocket.se/annons/uppsala/tetis_segelbat_9_25_mx2_7_langkolad/94911325;15000
Unik båt med eller utan segel. ;https://www.blocket.se/annons/goteborg/unik_bat_med_eller_utan_segel_/94918884;35000
IF-båt 1974 ;https://www.blocket.se/annons/stockholm/if_bat_1974/94918216;15000
Maxi 68 ;https://www.blocket.se/annons/vastmanland/maxi_68/94737236;27000
Comfort 32- 82 ;https://www.blocket.se/annons/stockholm/comfort_32__82/94917991;260000
Unik svenskbyggd lotskutter från 1895 ;https://www.blocket.se/annons/goteborg/unik_svenskbyggd_lotskutter_fran_1895/90696002;650000
Tävlings- och entusiastbåt, C40 ;https://www.blocket.se/annons/vasterbotten/tavlings__och_entusiastbat__c40/94776106;50000
J 11 öppen dagseglare ;https://www.blocket.se/annons/goteborg/j_11_oppen_dagseglare/94917698;17000
Hallberg Rassy 312 MK2 1987 ;https://www.blocket.se/annons/goteborg/hallberg_rassy_312_mk2_1987/94916826;575000
Marieholm AC20, segelnr 547 ;https://www.blocket.se/annons/dalarna/marieholm_ac20__segelnr_547/94915608;42000
Segelbåt Fajak 12 ;https://www.blocket.se/annons/sodermanland/segelbat_fajak_12/94914830;-1
IW31 - en välseglande svensk klassiker ;https://www.blocket.se/annons/skane/iw31___en_valseglande_svensk_klassiker/94914470;89000
Guy 22 (med separat akterkabin) ;https://www.blocket.se/annons/skaraborg/guy_22__med_separat_akterkabin_/94912197;35000
Delphia 28 - 2008 ;https://www.blocket.se/annons/goteborg/delphia_28___2008/94912028;340000
Dominant 78 ;https://www.blocket.se/annons/uppsala/dominant_78/94911779;24000
Unik Wasa 800 Atlantic ;https://www.blocket.se/annons/sodermanland/unik_wasa_800_atlantic/94910555;2495000
Maxi 77 ;https://www.blocket.se/annons/sodermanland/maxi_77/94910234;23000
Hallberg Rassy 39 ;https://www.blocket.se/annons/goteborg/hallberg_rassy_39/94536418;1600000
Siesta 32 ;https://www.blocket.se/annons/goteborg/siesta_32/94909989;330000
Segelbåt Piraya 24 ;https://www.blocket.se/annons/ostergotland/segelbat_piraya_24/94909221;15000
Soling av vinnar karaktär ;https://www.blocket.se/annons/vasterbotten/soling_av_vinnar_karaktar/94909037;45000
IF-båt #81 ;https://www.blocket.se/annons/vastmanland/if_bat__81/94908351;32000
Broadblue Rapier 400 Katamaran ;https://www.blocket.se/annons/stockholm/broadblue_rapier_400_katamaran/94132032;3000000
Fin W30 Kompromiss ;https://www.blocket.se/annons/varmland/fin_w30_kompromiss/94641294;95000
Trimaran Corsair 750 Dash MKI ;https://www.blocket.se/annons/stockholm/trimaran_corsair_750_dash_mki/94907302;450000
Dufour Grand Large -13 ;https://www.blocket.se/annons/stockholm/dufour_grand_large__13/94903750;1204039
Colin Archer ;https://www.blocket.se/annons/stockholm/colin_archer/94529220;375000
Jeanneau Sun Odyssey 319 -18 ;https://www.blocket.se/annons/stockholm/jeanneau_sun_odyssey_319__18/93115732;999099
Nacra 20 FCS -16 ;https://www.blocket.se/annons/stockholm/nacra_20_fcs__16/93944327;292181
Nauticat 515 -04 ;https://www.blocket.se/annons/stockholm/nauticat_515__04/92992324;4533856
Swan 48 -01 ;https://www.blocket.se/annons/stockholm/swan_48__01/92992506;3627084
Swan 45 -02 ;https://www.blocket.se/annons/stockholm/swan_45__02/92992734;2841216
Hanse 505 -17 ;https://www.blocket.se/annons/stockholm/hanse_505__17/93031365;2770689
Farr 52 -02 ;https://www.blocket.se/annons/stockholm/farr_52__02/93115180;1702714
Finngulf 46 -08 ;https://www.blocket.se/annons/stockholm/finngulf_46__08/93031875;2468432
Beneteau Oceanis 50 -07 ;https://www.blocket.se/annons/stockholm/beneteau_oceanis_50__07/93115003;1805371
Finngulf 46 -03 ;https://www.blocket.se/annons/stockholm/finngulf_46__03/93031690;2216551
Finngulf 43 -09/-13 ;https://www.blocket.se/annons/stockholm/finngulf_43__09__13/93031516;2028239
B31 Renoveringsobjekt med ny motor ;https://www.blocket.se/annons/stockholm/b31_renoveringsobjekt_med_ny_motor/94902172;75000
Aphrodite 30 ;https://www.blocket.se/annons/skane/aphrodite_30/94527166;180000
Olsson 22 ;https://www.blocket.se/annons/goteborg/olsson_22/94901904;9000
Baltic 50 / 2003 ;https://www.blocket.se/annons/stockholm/baltic_50___2003/94900690;5300000
Tillfälle Albin Singoalla 34 fot Öregrund ;https://www.blocket.se/annons/uppsala/tillfalle_albin_singoalla_34_fot_oregrund/94900441;175000
Lagoon 450 F Begagnad ;https://www.blocket.se/annons/skane/lagoon_450_f_begagnad/94900199;4827100
Andelsbåt i Kroatien Jeanneau Odysssey 34 ;https://www.blocket.se/annons/goteborg/andelsbat_i_kroatien_jeanneau_odysssey_34/94524523;70000
Gambler 38 - 1989 ;https://www.blocket.se/annons/stockholm/gambler_38___1989/94164566;550000
Laurinkoster L32 ;https://www.blocket.se/annons/vasternorrland/laurinkoster_l32/94898399;175000
Beason 31, nyrenoverad motor ;https://www.blocket.se/annons/varmland/beason_31__nyrenoverad_motor/94897946;139000
IF-båt ;https://www.blocket.se/annons/goteborg/if_bat/94896623;50000
Boström B-31 -76 ;https://www.blocket.se/annons/stockholm/bostrom_b_31__76/94522276;90000
Colin Archer ;https://www.blocket.se/annons/vastmanland/colin_archer/94896032;100000
Önskar hyra 35-40ft segelbåt på västkusten v30-32 ;https://www.blocket.se/annons/alvsborg/onskar_hyra_35_40ft_segelbat_pa_vastkusten_v30_32/94894781;123
BENETEAU | First 18 SE| Leverans JUNI 2021 ;https://www.blocket.se/annons/stockholm/beneteau___first_18_se__leverans_juni_2021/84725259;293000
Segelbåt ;https://www.blocket.se/annons/stockholm/segelbat/94518633;89000
Unik 500 square feet havskryssare - Knud Reimers ;https://www.blocket.se/annons/skane/unik_500_square_feet_havskryssare___knud_reimers/94517575;300000
Långseglare ;https://www.blocket.se/annons/kalmar/langseglare/94889920;280000
Omega 30 A Nr 17 Darling ;https://www.blocket.se/annons/stockholm/omega_30_a_nr_17_darling/94443274;220000
Lm 26 -81, Motorseglare ;https://www.blocket.se/annons/varmland/lm_26__81__motorseglare/94889310;90000
Fin Bavaria 47, ny motor ;https://www.blocket.se/annons/stockholm/fin_bavaria_47__ny_motor/94620978;1295000
Compis 97 Bästa familjebåten ;https://www.blocket.se/annons/stockholm/compis_97_basta_familjebaten/94887653;194000
Unik maxi 84 ;https://www.blocket.se/annons/stockholm/unik_maxi_84/94887447;130000
Compis 28 säljes ;https://www.blocket.se/annons/ostergotland/compis_28_saljes/94887198;23000
Västbrid 20 ;https://www.blocket.se/annons/halland/vastbrid_20/94887059;23000
Sveakryssare ;https://www.blocket.se/annons/sodermanland/sveakryssare/94886372;74000
Albin Cumulus med nyare motor ;https://www.blocket.se/annons/goteborg/albin_cumulus_med_nyare_motor/94885922;125000
Neptunkryssare bortskänkes mot avhämtning ;https://www.blocket.se/annons/stockholm/neptunkryssare_bortskankes_mot_avhamtning/93674099;-1
Grinde röd ;https://www.blocket.se/annons/goteborg/grinde_rod/94883826;190000
Maxi 68 reserverad. ;https://www.blocket.se/annons/goteborg/maxi_68_reserverad_/94883881;10000
Albin Cumulus nummer 1 från 1978 ;https://www.blocket.se/annons/stockholm/albin_cumulus_nummer_1_fran_1978/94884230;110000
Nauticat 33 -87 ;https://www.blocket.se/annons/stockholm/nauticat_33__87/94883342;790000
Laser segeljolle ;https://www.blocket.se/annons/stockholm/laser_segeljolle/94882694;21000
Hallberg Rassy 312 Mk II ;https://www.blocket.se/annons/goteborg/hallberg_rassy_312_mk_ii/94882608;695000
Elan Impression 434 ;https://www.blocket.se/annons/ostergotland/elan_impression_434/94736974;1280000
Segelbåt albin 79 ;https://www.blocket.se/annons/skane/segelbat_albin_79/94882166;27000
Ohlsson 22 ;https://www.blocket.se/annons/vasternorrland/ohlsson_22/94879413;17000
Katamaran Nacra 5.5, liknande Hobiecat ;https://www.blocket.se/annons/skane/katamaran_nacra_5_5__liknande_hobiecat/94735503;18000
