Fareast 28R BLACK ;https://www.blocket.se/annons/stockholm/fareast_28r_black/93517558;375000
Unik svenskbyggd lotskutter från 1895 ;https://www.blocket.se/annons/goteborg/unik_svenskbyggd_lotskutter_fran_1895/90696002;650000
Moody S31, 1997 ;https://www.blocket.se/annons/stockholm/moody_s31__1997/94325461;360000
Bavaria 33 Cruiser 2013 ;https://www.blocket.se/annons/gavleborg/bavaria_33_cruiser_2013/94324243;795000
Monark 540 ;https://www.blocket.se/annons/stockholm/monark_540/94321428;12000
Beneteau Oceanis Clipper 423 - 2004 ;https://www.blocket.se/annons/stockholm/beneteau_oceanis_clipper_423___2004/94321373;1098000
Broadblue Rapier 400 Katamaran ;https://www.blocket.se/annons/stockholm/broadblue_rapier_400_katamaran/94132032;3000000
Safir Segelbåt ;https://www.blocket.se/annons/skane/safir_segelbat/94318627;75000
Halberg-Rassy 24 Misil ;https://www.blocket.se/annons/goteborg/halberg_rassy_24_misil/94317201;25000
Lagoon 620 - Den bäst underhållna 620 på marknaden ;https://www.blocket.se/annons/skane/lagoon_620___den_bast_underhallna_620_pa_marknaden/94317027;12844630
Fabola Campus 650 Mark II ;https://www.blocket.se/annons/goteborg/fabola_campus_650_mark_ii/94316150;70000
Bavaria 47 - tillfälle i Västindien ;https://www.blocket.se/annons/stockholm/bavaria_47___tillfalle_i_vastindien/93940216;795000
Hanse 385 -2013 ;https://www.blocket.se/annons/goteborg/hanse_385__2013/94311132;1450000
Stålbåt, Långedrag 38 ;https://www.blocket.se/annons/dalarna/stalbat__langedrag_38/94312026;275000
Winga Mix 31 ;https://www.blocket.se/annons/goteborg/winga_mix_31/94311603;150000
Välvårdad Contrast 36 ;https://www.blocket.se/annons/goteborg/valvardad_contrast_36/94310109;390000
Maxi 95 -75, Blyköl, Seldénmast ;https://www.blocket.se/annons/kalmar/maxi_95__75__blykol__seld_nmast/94295039;149000
"Colin Archer Stål 37 fot ""Duffy"" ";https://www.blocket.se/annons/goteborg/colin_archer_stal_37_fot__duffy_/94310445;590000
Påkostad Wasa 410 säljes ;https://www.blocket.se/annons/stockholm/pakostad_wasa_410_saljes/94239395;475000
Rymlig och trygg familjebåt ;https://www.blocket.se/annons/uppsala/rymlig_och_trygg_familjebat/94309579;95000
Marieholm IF ;https://www.blocket.se/annons/stockholm/marieholm_if/94308343;42000
Diva 399 till salu ;https://www.blocket.se/annons/stockholm/diva_399_till_salu/94307482;390000
Smiling 28 ;https://www.blocket.se/annons/halland/smiling_28/94307126;40000
Laurin 32 MK 3 1979 ;https://www.blocket.se/annons/goteborg/laurin_32_mk_3_1979/94209923;220000
43 ft,familjekryssare,one of a kind,ketch ;https://www.blocket.se/annons/jonkoping/43_ft_familjekryssare_one_of_a_kind_ketch/93744149;115000
Swan 36 -68 ;https://www.blocket.se/annons/stockholm/swan_36__68/93338804;809346
Tur 84 ;https://www.blocket.se/annons/skane/tur_84/94305387;70000
Najad 505 / 2017 ;https://www.blocket.se/annons/goteborg/najad_505___2017/92542462;7995000
