Bavaria 32 Cr (34) ;https://www.blocket.se/annons/norrbotten/bavaria_32_cr__34_/94079540;550000
Hallberg Rassy 37 2005 ;https://www.blocket.se/annons/goteborg/hallberg_rassy_37_2005/94079006;2150000
First 36.7 Rebel Yell ;https://www.blocket.se/annons/goteborg/first_36_7_rebel_yell/93799395;780000
RW41 - semesterseglare, långseglare eller bobåt ;https://www.blocket.se/annons/varmland/rw41___semesterseglare__langseglare_eller_bobat/94077179;825000
Bavaria 32 | 2002 ;https://www.blocket.se/annons/stockholm/bavaria_32___2002/94077144;509000
Bavaria Criuser 32 ;https://www.blocket.se/annons/kalmar/bavaria_criuser_32/94076686;745000
Andel, Bavaria 30 Grekland, 2v segling ;https://www.blocket.se/annons/skane/andel__bavaria_30_grekland__2v_segling/93659114;35000
Premiär för nya Arcona 385 13/2 ;https://www.blocket.se/annons/stockholm/premiar_for_nya_arcona_385_13_2/92312377;-1
Beneteau Oceanis 40.1 (2017) Beneatha ;https://www.blocket.se/annons/stockholm/beneteau_oceanis_40_1__2017__beneatha/92548303;1300000
LAGOON 40 - Nathalie ;https://www.blocket.se/annons/stockholm/lagoon_40___nathalie/94075177;3490000
BENETEAU | Oceanis 35.1 | ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_35_1__/67467619;1545000
FOUNTAINE PAJOT | Saona 47 | ;https://www.blocket.se/annons/stockholm/fountaine_pajot___saona_47__/67986925;7269000
BENETEAU | Oceanis 51.1 | ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_51_1__/73818650;4269000
FOUNTAINE PAJOT | Elba 45 | ;https://www.blocket.se/annons/stockholm/fountaine_pajot___elba_45__/81708632;6343000
FOUNTAINE PAJOT | Astrea 42 | ;https://www.blocket.se/annons/stockholm/fountaine_pajot___astrea_42__/82564500;4855000
BENETEAU | Oceanis 30.1 | Leverans APRIL ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_30_1___leverans_april/82607423;1099000
BENETEAU | First 18 | Leverans våren 2021 ;https://www.blocket.se/annons/stockholm/beneteau___first_18___leverans_varen_2021/84725259;290000
BENETEAU | First 14 | Leverans våren 2021 ;https://www.blocket.se/annons/stockholm/beneteau___first_14___leverans_varen_2021/84726365;155000
BENETEAU | First 24 | Leverans våren 2021 ;https://www.blocket.se/annons/stockholm/beneteau___first_24___leverans_varen_2021/84727210;635000
BENETEAU | First 27 | Leverans våren 2021 ;https://www.blocket.se/annons/stockholm/beneteau___first_27___leverans_varen_2021/84728350;870000
BENETEAU | Figaro III | ;https://www.blocket.se/annons/stockholm/beneteau___figaro_iii__/84738893;2345000
BENETEAU| First Yacht 53 | ;https://www.blocket.se/annons/stockholm/beneteau__first_yacht_53__/84739181;6765000
FOUNTAINE PAJOT | Alegria 67 ;https://www.blocket.se/annons/stockholm/fountaine_pajot___alegria_67/84741718;25926000
BENETEAU | Oceanis 38.1 | ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_38_1__/85959175;1880000
BENETEAU | Oceanis 46.1 | ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_46_1__/86864510;3390000
BENETEAU | Oceanis Yacht 62 | Opportunity ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_yacht_62___opportunity/86875564;10500000
FOUNTAINE PAJOT | Samana 59 | ;https://www.blocket.se/annons/stockholm/fountaine_pajot___samana_59__/87324460;17882000
BENETEAU | Oceanis 40.1 | Sommaren våren 2021 ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_40_1___sommaren_varen_2021/88780705;2480000
FOUNTAINE PAJOT | Isla 40 | Nyhet | ;https://www.blocket.se/annons/stockholm/fountaine_pajot___isla_40___nyhet__/92213501;3925000
BENETEAU | Oceanis Yacht 54 | Leverans Juni 2021 ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_yacht_54___leverans_juni_2021/92350440;5585000
BENETEAU | Oceanis 40.1 | #1 båten i SVERIGE ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_40_1____1_baten_i_sverige/92522225;2480000
BENETEAU | Oceanis 46.1 | Leverans FEB 2021 ;https://www.blocket.se/annons/stockholm/beneteau___oceanis_46_1___leverans_feb_2021/93440262;4995000
Fountaine Pajot | NEW 51 | ;https://www.blocket.se/annons/stockholm/fountaine_pajot___new_51__/93465682;10004000
Hallberg-Rassy 54 - 2010 ;https://www.blocket.se/annons/goteborg/hallberg_rassy_54___2010/94070571;7490000
Cayenne 42 med stil o fart ;https://www.blocket.se/annons/sodermanland/cayenne_42_med_stil_o_fart/93881269;272000
Mistral 33 ;https://www.blocket.se/annons/skaraborg/mistral_33/93789204;300000
Hallberg-Rassy Rasmus 35 - bör ses ;https://www.blocket.se/annons/halland/hallberg_rassy_rasmus_35___bor_ses/90869597;395000
Åh-30, 1978 ;https://www.blocket.se/annons/skane/ah_30__1978/94066856;60000
Bruce Roberts Sailing Yacht ;https://www.blocket.se/annons/stockholm/bruce_roberts_sailing_yacht/93971729;2250000
