Laurinkoster L32 Stilrent renoverad;https://www.blocket.se/annons/stockholm/laurinkoster_l32_stilrent_renoverad/92119899;225000
Segelkanot;https://www.blocket.se/annons/ostergotland/segelkanot/92130678;3000
Segelbåt Jonsson;https://www.blocket.se/annons/stockholm/segelbat_jonsson/91310489;31000
Askeladden 14;https://www.blocket.se/annons/orebro/askeladden_14/91997644;15000
Havskryssare Bacchant IV 1971;https://www.blocket.se/annons/kalmar/havskryssare_bacchant_iv_1971/91776718;245000
Jigg;https://www.blocket.se/annons/goteborg/jigg/92128452;5000
Hallberg Rassy (HR) 312;https://www.blocket.se/annons/stockholm/hallberg_rassy__hr__312/91652451;340000
Bruce Roberts motorseglarskrov;https://www.blocket.se/annons/dalarna/bruce_roberts_motorseglarskrov/90148633;-1
Arcona 410 2018;https://www.blocket.se/annons/stockholm/arcona_410_2018/92128320;3795000
NY Lagoon 40 (2021);https://www.blocket.se/annons/stockholm/ny_lagoon_40__2021_/92128082;4830750
Ny Lagoon 46 (2021);https://www.blocket.se/annons/stockholm/ny_lagoon_46__2021_/92127735;8723479
Beneteau 510 Oceanic;https://www.blocket.se/annons/stockholm/beneteau_510_oceanic/90436109;1200000
NY Jeanneau Sun Odyssey 410 (2021);https://www.blocket.se/annons/stockholm/ny_jeanneau_sun_odyssey_410__2021_/92127600;3350000
Motorseglare Nautilus 31 -79;https://www.blocket.se/annons/gavleborg/motorseglare_nautilus_31__79/90597394;160000
NY Jeanneau Yacht 60 (2021);https://www.blocket.se/annons/stockholm/ny_jeanneau_yacht_60__2021_/92127458;5604688
Allegro 33;https://www.blocket.se/annons/gotland/allegro_33/91176262;310000
IF båt vitt;https://www.blocket.se/annons/stockholm/if_bat_vitt/92126718;22000
Rj 85;https://www.blocket.se/annons/stockholm/rj_85/92125634;55000
Safir nr 5 från 1971;https://www.blocket.se/annons/goteborg/safir_nr_5_fran_1971/92125466;38000
Snygg Smaragd;https://www.blocket.se/annons/stockholm/snygg_smaragd/92013281;135000
Nauticat 42 i Medelhavet;https://www.blocket.se/annons/stockholm/nauticat_42_i_medelhavet/90924336;1850000
Marieholm 20ms AC;https://www.blocket.se/annons/alvsborg/marieholm_20ms_ac/92125330;25000
